danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.862,0.658,1,-4.042,1,0.164,0.143,0.0,0.119,0.517,90.97,38KDfaVZoA2leYWgESyeKB,182974,4
0.822,0.264,5,-9.37,1,0.0593,0.669,0.0,0.0972,0.672,135.117,7kh95COsNZjnTmc6aF76n7,149505,4
0.865,0.611,6,-9.609,0,0.25,0.253,0.0,0.0994,0.544,105.079,22Wg0tDL6LvVphBUpQYu3c,146286,4
0.814,0.535,1,-6.994,1,0.0667,0.256,0.0,0.1,0.0393,119.931,2w9xAC4Bcle9H4jNARL57U,128250,4
0.37,0.572,5,-6.786,0,0.0297,0.302,0.0,0.117,0.767,164.119,4luq9irzpClkmCYfHmlRyh,200333,4
0.569,0.562,10,-6.945,1,0.028,0.231,0.0,0.103,0.533,88.089,24O1dTyT0zcs4fnQHm6OQB,212226,4
0.757,0.687,1,-4.78,1,0.0658,0.586,0.0,0.111,0.583,117.927,4eB8rsNNm5791m3uvEBNLR,173831,4
0.583,0.439,8,-8.562,0,0.325,0.867,6.97e-05,0.333,0.232,61.837,5m9l5wILQ9iiLd8csLeR5v,108000,4
0.788,0.894,5,-2.661,0,0.198,0.339,0.000253,0.0649,0.588,89.945,6N6mJlsjYRV0yoMSPS5JiQ,196000,4
0.661,0.892,1,-3.83,1,0.111,0.0597,0.0,0.174,0.728,90.018,2zbWCme3Dvp8071b4R4nkY,294387,4
0.517,0.793,6,-5.851,0,0.0367,0.0214,0.00046,0.0892,0.176,90.06,52EB2Gk1nkxZmbomJOXUde,157333,4
0.823,0.849,0,-4.829,1,0.0444,0.179,8.68e-06,0.0599,0.698,124.01,1ZHP05MoeEAxBHBs2CC2hL,205964,4
0.719,0.704,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,25sgk305KZfyuqVBQIahim,187436,4
0.776,0.465,7,-6.368,0,0.434,0.466,0.0,0.363,0.694,149.829,0WhDotK0QXigmsrlw0DxKK,179644,4
0.577,0.919,5,-3.194,1,0.0982,0.286,0.0,0.943,0.736,166.059,3tU3UAasaDA9OixXGC3O33,189003,4
0.361,0.567,5,-4.458,1,0.0385,0.0894,0.0,0.137,0.276,102.966,3aH4zwCqiIEH08zbJO4jlH,186027,3
